spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
114,sample=1 period=1 cycle=20 experiment=1,1,6.34300000002,positive,True,631372.0,68.010762625452,19833.0,,,
115,sample=1 period=1 cycle=20 experiment=2,2,6.41299999998,positive,True,569962.0,42.034084396437,115364.0,105.15,105.15,DDA
116,sample=1 period=1 cycle=20 experiment=3,2,6.45400000002,positive,True,671308.0,166.029298220164,13568.0,202.3,202.3,DDA
117,sample=1 period=1 cycle=20 experiment=4,2,6.495,positive,True,160989.0,46.064608988999,2044.0,283.5,283.5,DDA
118,sample=1 period=1 cycle=20 experiment=5,2,6.53599999998,positive,True,464376.0,381.206961836876,6698.0,394.1,394.1,DDA
119,sample=1 period=1 cycle=20 experiment=6,2,6.57700000002,positive,True,347244.0,556.279504655794,2749.0,637.4,637.4,DDA
120,sample=1 period=1 cycle=21 experiment=1,1,6.67300000002,positive,True,992180.0,556.278147711021,18875.0,,,
121,sample=1 period=1 cycle=21 experiment=2,2,6.74299999998,positive,True,658430.0,42.034084396437,145715.0,105.15,105.15,DDA
122,sample=1 period=1 cycle=21 experiment=3,2,6.78400000002,positive,True,664108.0,166.029298220164,18848.0,202.3,202.3,DDA
123,sample=1 period=1 cycle=21 experiment=4,2,6.825,positive,True,146886.0,46.063656632786,2437.0,283.5,283.5,DDA
124,sample=1 period=1 cycle=21 experiment=5,2,6.86599999998,positive,True,380981.0,381.209701512599,6741.0,394.1,394.1,DDA
125,sample=1 period=1 cycle=21 experiment=6,2,6.90700000002,positive,True,336380.0,397.187132432884,3056.0,637.4,637.4,DDA
126,sample=1 period=1 cycle=22 experiment=1,1,7.003000000019999,positive,True,827592.0,166.028288941494,17227.0,,,
127,sample=1 period=1 cycle=22 experiment=2,2,7.0729999999799995,positive,True,743674.0,42.034084396437,176936.0,105.15,105.15,DDA
128,sample=1 period=1 cycle=22 experiment=3,2,7.11400000002,positive,True,687326.0,166.031106274666,16650.0,202.3,202.3,DDA
129,sample=1 period=1 cycle=22 experiment=4,2,7.154999999999999,positive,True,116660.0,46.064608988999,1259.0,283.5,283.5,DDA
130,sample=1 period=1 cycle=22 experiment=5,2,7.195999999980001,positive,True,615352.0,98.983606472246,6955.0,394.1,394.1,DDA
131,sample=1 period=1 cycle=22 experiment=6,2,7.23700000002,positive,True,337097.0,397.192725461984,3195.0,637.4,637.4,DDA
132,sample=1 period=1 cycle=23 experiment=1,1,7.33300000002,positive,True,767160.0,68.010762625452,21586.0,,,
133,sample=1 period=1 cycle=23 experiment=2,2,7.4029999999800005,positive,True,632407.0,42.034084396437,136389.0,105.15,105.15,DDA
134,sample=1 period=1 cycle=23 experiment=3,2,7.44400000002,positive,True,611980.0,166.029298220164,13687.0,202.3,202.3,DDA
135,sample=1 period=1 cycle=23 experiment=4,2,7.485,positive,True,152950.0,46.064608988999,2206.0,283.5,283.5,DDA
136,sample=1 period=1 cycle=23 experiment=5,2,7.52599999998,positive,True,457837.0,98.982210431563,6138.0,394.1,394.1,DDA
137,sample=1 period=1 cycle=23 experiment=6,2,7.56700000002,positive,True,339621.0,397.192725461984,3385.0,637.4,637.4,DDA
138,sample=1 period=1 cycle=24 experiment=1,1,7.663000000019999,positive,True,781444.0,166.028288941494,19394.0,,,
139,sample=1 period=1 cycle=24 experiment=2,2,7.7329999999800005,positive,True,618501.0,42.034084396437,131332.0,105.15,105.15,DDA
140,sample=1 period=1 cycle=24 experiment=3,2,7.774000000020001,positive,True,596014.0,166.027490175507,9111.0,202.3,202.3,DDA
141,sample=1 period=1 cycle=24 experiment=4,2,7.815,positive,True,147399.0,46.064608988999,3609.0,283.5,283.5,DDA
142,sample=1 period=1 cycle=24 experiment=5,2,7.85599999998,positive,True,460701.0,381.206961836876,9646.0,394.1,394.1,DDA
143,sample=1 period=1 cycle=24 experiment=6,2,7.89700000002,positive,True,469605.0,278.113597003241,3587.0,637.4,637.4,DDA
144,sample=1 period=1 cycle=25 experiment=1,1,7.993000000019999,positive,True,710350.0,68.010762625452,17327.0,,,
145,sample=1 period=1 cycle=25 experiment=2,2,8.06299999998,positive,True,731912.0,42.034084396437,168318.0,105.15,105.15,DDA
146,sample=1 period=1 cycle=25 experiment=3,2,8.104000000020001,positive,True,634250.0,166.027490175507,10382.0,202.3,202.3,DDA
147,sample=1 period=1 cycle=25 experiment=4,2,8.145000000000001,positive,True,146481.0,46.064608988999,2647.0,283.5,283.5,DDA
148,sample=1 period=1 cycle=25 experiment=5,2,8.18599999998,positive,True,471481.0,98.983606472246,5278.0,394.1,394.1,DDA
149,sample=1 period=1 cycle=25 experiment=6,2,8.22700000002,positive,True,326352.0,556.276195144611,3749.0,637.4,637.4,DDA
150,sample=1 period=1 cycle=26 experiment=1,1,8.32300000002,positive,True,715575.0,166.028288941494,20009.0,,,
151,sample=1 period=1 cycle=26 experiment=2,2,8.392999999979999,positive,True,689601.0,42.034084396437,156070.0,105.15,105.15,DDA
152,sample=1 period=1 cycle=26 experiment=3,2,8.43400000002,positive,True,600666.0,166.029298220164,12762.0,202.3,202.3,DDA
153,sample=1 period=1 cycle=26 experiment=4,2,8.475,positive,True,125734.0,46.064608988999,2292.0,283.5,283.5,DDA
154,sample=1 period=1 cycle=26 experiment=5,2,8.51599999998,positive,True,462965.0,381.206961836876,7793.0,394.1,394.1,DDA
155,sample=1 period=1 cycle=26 experiment=6,2,8.55700000002,positive,True,322329.0,556.276195144611,2361.0,637.4,637.4,DDA
156,sample=1 period=1 cycle=27 experiment=1,1,8.652,positive,True,915989.0,166.028288941494,22175.0,,,
157,sample=1 period=1 cycle=27 experiment=2,2,8.722999999979999,positive,True,651443.0,42.034084396437,135652.0,105.15,105.15,DDA
158,sample=1 period=1 cycle=27 experiment=3,2,8.76400000002,positive,True,584668.0,166.029298220164,11874.0,202.3,202.3,DDA
159,sample=1 period=1 cycle=27 experiment=4,2,8.805,positive,True,142069.0,46.064608988999,2743.0,283.5,283.5,DDA
160,sample=1 period=1 cycle=27 experiment=5,2,8.84599999998,positive,True,583502.0,98.983606472246,7041.0,394.1,394.1,DDA
161,sample=1 period=1 cycle=27 experiment=6,2,8.887000000019999,positive,True,211752.0,397.189928942512,1381.0,637.4,637.4,DDA
162,sample=1 period=1 cycle=28 experiment=1,1,8.98300000002,positive,True,755343.0,68.010762625452,16863.0,,,
163,sample=1 period=1 cycle=28 experiment=2,2,9.05200000002,positive,True,617004.0,42.034084396437,136574.0,105.15,105.15,DDA
164,sample=1 period=1 cycle=28 experiment=3,2,9.09400000002,positive,True,657265.0,166.029298220164,14160.0,202.3,202.3,DDA
165,sample=1 period=1 cycle=28 experiment=4,2,9.135,positive,True,159617.0,46.064608988999,4125.0,283.5,283.5,DDA
166,sample=1 period=1 cycle=28 experiment=5,2,9.17599999998,positive,True,512903.0,381.206961836876,9518.0,394.1,394.1,DDA
167,sample=1 period=1 cycle=28 experiment=6,2,9.21700000002,positive,True,326616.0,556.276195144611,4185.0,637.4,637.4,DDA
168,sample=1 period=1 cycle=29 experiment=1,1,9.312000000000001,positive,True,680543.0,68.010762625452,18874.0,,,
169,sample=1 period=1 cycle=29 experiment=2,2,9.38200000002,positive,True,593702.0,42.034084396437,115529.0,105.15,105.15,DDA
170,sample=1 period=1 cycle=29 experiment=3,2,9.423,positive,True,653900.0,166.029298220164,9691.0,202.3,202.3,DDA
171,sample=1 period=1 cycle=29 experiment=4,2,9.465,positive,True,137130.0,46.064608988999,2072.0,283.5,283.5,DDA
172,sample=1 period=1 cycle=29 experiment=5,2,9.50599999998,positive,True,502028.0,381.206961836876,7872.0,394.1,394.1,DDA
173,sample=1 period=1 cycle=29 experiment=6,2,9.54700000002,positive,True,412976.0,278.111256936917,3125.0,637.4,637.4,DDA
174,sample=1 period=1 cycle=30 experiment=1,1,9.642000000000001,positive,True,762275.0,166.028288941494,19042.0,,,
175,sample=1 period=1 cycle=30 experiment=2,2,9.71200000002,positive,True,656454.0,42.034084396437,142580.0,105.15,105.15,DDA
176,sample=1 period=1 cycle=30 experiment=3,2,9.753,positive,True,638267.0,166.029298220164,9150.0,202.3,202.3,DDA
177,sample=1 period=1 cycle=30 experiment=4,2,9.79399999998,positive,True,137131.0,46.064608988999,1811.0,283.5,283.5,DDA
178,sample=1 period=1 cycle=30 experiment=5,2,9.83599999998,positive,True,467228.0,98.983606472246,5300.0,394.1,394.1,DDA
179,sample=1 period=1 cycle=30 experiment=6,2,9.87700000002,positive,True,364091.0,556.272885643273,2775.0,637.4,637.4,DDA
180,sample=1 period=1 cycle=31 experiment=1,1,9.972,positive,True,865807.0,68.010762625452,17392.0,,,
181,sample=1 period=1 cycle=31 experiment=2,2,10.04200000002,positive,True,643452.0,42.034084396437,141077.0,105.15,105.15,DDA
182,sample=1 period=1 cycle=31 experiment=3,2,10.083,positive,True,611247.0,166.029298220164,13868.0,202.3,202.3,DDA
183,sample=1 period=1 cycle=31 experiment=4,2,10.12399999998,positive,True,144803.0,46.065561355056,2462.0,283.5,283.5,DDA
184,sample=1 period=1 cycle=31 experiment=5,2,10.165000000020001,positive,True,457197.0,98.983606472246,5842.0,394.1,394.1,DDA
185,sample=1 period=1 cycle=31 experiment=6,2,10.20700000002,positive,True,439423.0,397.187132432884,2968.0,637.4,637.4,DDA
186,sample=1 period=1 cycle=32 experiment=1,1,10.302,positive,True,685091.0,68.010762625452,18667.0,,,
187,sample=1 period=1 cycle=32 experiment=2,2,10.37299999998,positive,True,646740.0,42.034084396437,133857.0,105.15,105.15,DDA
188,sample=1 period=1 cycle=32 experiment=3,2,10.41400000002,positive,True,605387.0,166.031106274666,15733.0,202.3,202.3,DDA
189,sample=1 period=1 cycle=32 experiment=4,2,10.455,positive,True,130922.0,46.064608988999,3550.0,283.5,283.5,DDA
190,sample=1 period=1 cycle=32 experiment=5,2,10.49599999998,positive,True,502926.0,98.983606472246,5273.0,394.1,394.1,DDA
191,sample=1 period=1 cycle=32 experiment=6,2,10.537000000019999,positive,True,284444.0,278.11593707941,2645.0,637.4,637.4,DDA
192,sample=1 period=1 cycle=33 experiment=1,1,10.633000000020001,positive,True,668707.0,68.010762625452,19057.0,,,
193,sample=1 period=1 cycle=33 experiment=2,2,10.70200000002,positive,True,678521.0,42.034084396437,142173.0,105.15,105.15,DDA
194,sample=1 period=1 cycle=33 experiment=3,2,10.742999999999999,positive,True,619501.0,166.031106274666,12018.0,202.3,202.3,DDA
195,sample=1 period=1 cycle=33 experiment=4,2,10.78399999998,positive,True,142878.0,46.065561355056,2119.0,283.5,283.5,DDA
196,sample=1 period=1 cycle=33 experiment=5,2,10.82500000002,positive,True,350554.0,98.983606472246,4277.0,394.1,394.1,DDA
197,sample=1 period=1 cycle=33 experiment=6,2,10.866000000000001,positive,True,335244.0,556.279504655794,2786.0,637.4,637.4,DDA
198,sample=1 period=1 cycle=34 experiment=1,1,10.962,positive,True,596206.0,68.010762625452,16145.0,,,
199,sample=1 period=1 cycle=34 experiment=2,2,11.03200000002,positive,True,625284.0,42.034084396437,126390.0,105.15,105.15,DDA
200,sample=1 period=1 cycle=34 experiment=3,2,11.073,positive,True,643658.0,166.029298220164,12492.0,202.3,202.3,DDA
201,sample=1 period=1 cycle=34 experiment=4,2,11.113999999979999,positive,True,118775.0,46.063656632786,1959.0,283.5,283.5,DDA
202,sample=1 period=1 cycle=34 experiment=5,2,11.15500000002,positive,True,416973.0,46.064608988999,6395.0,394.1,394.1,DDA
203,sample=1 period=1 cycle=34 experiment=6,2,11.196,positive,True,455566.0,556.276195144611,4350.0,637.4,637.4,DDA
